CommentrId,ComtDate,LikeNumberID
46390,00:00.0,CM46390
46391,00:00.0,CM46391
46392,00:00.0,CM46392
46393,00:00.0,CM46393
46394,00:00.0,CM46394
46395,00:00.0,CM46395
46396,00:00.0,CM46396
46397,00:00.0,CM46397
46398,00:00.0,CM46398
46399,00:00.0,CM46399
46400,00:00.0,CM46400
46401,00:00.0,CM46401
46402,00:00.0,CM46402
46403,00:00.0,CM46403
46404,00:00.0,CM46404
46405,00:00.0,CM46405
46406,00:00.0,CM46406
46407,00:00.0,CM46407
46408,00:00.0,CM46408
46409,00:00.0,CM46409
46410,00:00.0,CM46410
46411,00:00.0,CM46411
46412,00:00.0,CM46412
46413,00:00.0,CM46413
46414,00:00.0,CM46414
46415,00:00.0,CM46415
46416,00:00.0,CM46416
46417,00:00.0,CM46417
46418,00:00.0,CM46418
46419,00:00.0,CM46419
46420,00:00.0,CM46420
46421,00:00.0,CM46421
46422,00:00.0,CM46422
46423,00:00.0,CM46423
46424,00:00.0,CM46424
46425,00:00.0,CM46425
46426,00:00.0,CM46426
46427,00:00.0,CM46427
46428,00:00.0,CM46428
46429,00:00.0,CM46429
46430,00:00.0,CM46430
46431,00:00.0,CM46431
46432,00:00.0,CM46432
46433,00:00.0,CM46433
46434,00:00.0,CM46434
46435,00:00.0,CM46435
46436,00:00.0,CM46436
46437,00:00.0,CM46437
46438,00:00.0,CM46438
46439,00:00.0,CM46439
46440,00:00.0,CM46440
46441,00:00.0,CM46441
46442,00:00.0,CM46442
46443,00:00.0,CM46443
46444,00:00.0,CM46444
46445,00:00.0,CM46445
46446,00:00.0,CM46446
46447,00:00.0,CM46447
46448,00:00.0,CM46448
46449,00:00.0,CM46449
46450,00:00.0,CM46450
46451,00:00.0,CM46451
46452,00:00.0,CM46452
46453,00:00.0,CM46453
46454,00:00.0,CM46454
46455,00:00.0,CM46455
46456,00:00.0,CM46456
46457,00:00.0,CM46457
46458,00:00.0,CM46458
46459,00:00.0,CM46459
46460,00:00.0,CM46460
46461,00:00.0,CM46461
46462,00:00.0,CM46462
46463,00:00.0,CM46463
46464,00:00.0,CM46464
46465,00:00.0,CM46465
46466,00:00.0,CM46466
46467,00:00.0,CM46467
46468,00:00.0,CM46468
46469,00:00.0,CM46469
46470,00:00.0,CM46470
46471,00:00.0,CM46471
46472,00:00.0,CM46472
46473,00:00.0,CM46473
46474,00:00.0,CM46474
46475,00:00.0,CM46475
46476,00:00.0,CM46476
46477,00:00.0,CM46477
46478,00:00.0,CM46478
46479,00:00.0,CM46479
46480,00:00.0,CM46480
46481,00:00.0,CM46481
46482,00:00.0,CM46482
46483,00:00.0,CM46483
46484,00:00.0,CM46484
46485,00:00.0,CM46485
46486,00:00.0,CM46486
46487,00:00.0,CM46487
46488,00:00.0,CM46488
46489,00:00.0,CM46489
46490,00:00.0,CM46490
46491,00:00.0,CM46491
46492,00:00.0,CM46492
46493,00:00.0,CM46493
46494,00:00.0,CM46494
46495,00:00.0,CM46495
46496,00:00.0,CM46496
46497,00:00.0,CM46497
46498,00:00.0,CM46498
46499,00:00.0,CM46499
46500,00:00.0,CM46500
46501,00:00.0,CM46501
46502,00:00.0,CM46502
46503,00:00.0,CM46503
46504,00:00.0,CM46504
46505,00:00.0,CM46505
46506,00:00.0,CM46506
46507,00:00.0,CM46507
46508,00:00.0,CM46508
46509,00:00.0,CM46509
46510,00:00.0,CM46510
46511,00:00.0,CM46511
46512,00:00.0,CM46512
46513,00:00.0,CM46513
46514,00:00.0,CM46514
46515,00:00.0,CM46515
46516,00:00.0,CM46516
46517,00:00.0,CM46517
46518,00:00.0,CM46518
46519,00:00.0,CM46519
46520,00:00.0,CM46520
46521,00:00.0,CM46521
46522,00:00.0,CM46522
46523,00:00.0,CM46523
46524,00:00.0,CM46524
46525,00:00.0,CM46525
46526,00:00.0,CM46526
46527,00:00.0,CM46527
46528,00:00.0,CM46528
46529,00:00.0,CM46529
46530,00:00.0,CM46530
46531,00:00.0,CM46531
46532,00:00.0,CM46532
46533,00:00.0,CM46533
46534,00:00.0,CM46534
46535,00:00.0,CM46535
46536,00:00.0,CM46536
46537,00:00.0,CM46537
46538,00:00.0,CM46538
46539,00:00.0,CM46539
46540,00:00.0,CM46540
46541,00:00.0,CM46541
46542,00:00.0,CM46542
46543,00:00.0,CM46543
46544,00:00.0,CM46544
46545,00:00.0,CM46545
46546,00:00.0,CM46546
46547,00:00.0,CM46547
46548,00:00.0,CM46548
46549,00:00.0,CM46549
46550,00:00.0,CM46550
46551,00:00.0,CM46551
46552,00:00.0,CM46552
46553,00:00.0,CM46553
46554,00:00.0,CM46554
46555,00:00.0,CM46555
46556,00:00.0,CM46556
46557,00:00.0,CM46557
46558,00:00.0,CM46558
46559,00:00.0,CM46559
46560,00:00.0,CM46560
46561,00:00.0,CM46561
46562,00:00.0,CM46562
46563,00:00.0,CM46563
46564,00:00.0,CM46564
46565,00:00.0,CM46565
46566,00:00.0,CM46566
46567,00:00.0,CM46567
46568,00:00.0,CM46568
46569,00:00.0,CM46569
46570,00:00.0,CM46570
46571,00:00.0,CM46571
46572,00:00.0,CM46572
46573,00:00.0,CM46573
46574,00:00.0,CM46574
46575,00:00.0,CM46575
46576,00:00.0,CM46576
46577,00:00.0,CM46577
46578,00:00.0,CM46578
46579,00:00.0,CM46579
46580,00:00.0,CM46580
46581,00:00.0,CM46581
46582,00:00.0,CM46582
46583,00:00.0,CM46583
46584,00:00.0,CM46584
46585,00:00.0,CM46585
46586,00:00.0,CM46586
46587,00:00.0,CM46587
46588,00:00.0,CM46588
46589,00:00.0,CM46589
46590,00:00.0,CM46590
46591,00:00.0,CM46591
46592,00:00.0,CM46592
46593,00:00.0,CM46593
46594,00:00.0,CM46594
46595,00:00.0,CM46595
46596,00:00.0,CM46596
46597,00:00.0,CM46597
46598,00:00.0,CM46598
46599,00:00.0,CM46599
46600,00:00.0,CM46600
46601,00:00.0,CM46601
46602,00:00.0,CM46602
46603,00:00.0,CM46603
46604,00:00.0,CM46604
46605,00:00.0,CM46605
46606,00:00.0,CM46606
46607,00:00.0,CM46607
46608,00:00.0,CM46608
46609,00:00.0,CM46609
46610,00:00.0,CM46610
46611,00:00.0,CM46611
46612,00:00.0,CM46612
46613,00:00.0,CM46613
46614,00:00.0,CM46614
46615,00:00.0,CM46615
46616,00:00.0,CM46616
46617,00:00.0,CM46617
46618,00:00.0,CM46618
46619,00:00.0,CM46619
46620,00:00.0,CM46620
46621,00:00.0,CM46621
46622,00:00.0,CM46622
46623,00:00.0,CM46623
46624,00:00.0,CM46624
46625,00:00.0,CM46625
46626,00:00.0,CM46626
46627,00:00.0,CM46627
46628,00:00.0,CM46628
46629,00:00.0,CM46629
46630,00:00.0,CM46630
46631,00:00.0,CM46631
46632,00:00.0,CM46632
46633,00:00.0,CM46633
46634,00:00.0,CM46634
46635,00:00.0,CM46635
46636,00:00.0,CM46636
46637,00:00.0,CM46637
46638,00:00.0,CM46638
46639,00:00.0,CM46639
46640,00:00.0,CM46640
46641,00:00.0,CM46641
46642,00:00.0,CM46642
46643,00:00.0,CM46643
46644,00:00.0,CM46644
46645,00:00.0,CM46645
46646,00:00.0,CM46646
46647,00:00.0,CM46647
46648,00:00.0,CM46648
46649,00:00.0,CM46649
46650,00:00.0,CM46650
46651,00:00.0,CM46651
46652,00:00.0,CM46652
46653,00:00.0,CM46653
46654,00:00.0,CM46654
46655,00:00.0,CM46655
46656,00:00.0,CM46656
46657,00:00.0,CM46657
46658,00:00.0,CM46658
46659,00:00.0,CM46659
46660,00:00.0,CM46660
46661,00:00.0,CM46661
46662,00:00.0,CM46662
46663,00:00.0,CM46663
46664,00:00.0,CM46664
46665,00:00.0,CM46665
46666,00:00.0,CM46666
46667,00:00.0,CM46667
46668,00:00.0,CM46668
46669,00:00.0,CM46669
46670,00:00.0,CM46670
46671,00:00.0,CM46671
46672,00:00.0,CM46672
46673,00:00.0,CM46673
46674,00:00.0,CM46674
46675,00:00.0,CM46675
46676,00:00.0,CM46676
46677,00:00.0,CM46677
46678,00:00.0,CM46678
46679,00:00.0,CM46679
46680,00:00.0,CM46680
46681,00:00.0,CM46681
46682,00:00.0,CM46682
46683,00:00.0,CM46683
46684,00:00.0,CM46684
46685,00:00.0,CM46685
46686,00:00.0,CM46686
46687,00:00.0,CM46687
46688,00:00.0,CM46688
46689,00:00.0,CM46689
46690,00:00.0,CM46690
46691,00:00.0,CM46691
46692,00:00.0,CM46692
46693,00:00.0,CM46693
46694,00:00.0,CM46694
46695,00:00.0,CM46695
46696,00:00.0,CM46696
46697,00:00.0,CM46697
46698,00:00.0,CM46698
46699,00:00.0,CM46699
46700,00:00.0,CM46700
46701,00:00.0,CM46701
46702,00:00.0,CM46702
46703,00:00.0,CM46703
46704,00:00.0,CM46704
46705,00:00.0,CM46705
46706,00:00.0,CM46706
46707,00:00.0,CM46707
46708,00:00.0,CM46708
46709,00:00.0,CM46709
46710,00:00.0,CM46710
46711,00:00.0,CM46711
46712,00:00.0,CM46712
46713,00:00.0,CM46713
46714,00:00.0,CM46714
46715,00:00.0,CM46715
46716,00:00.0,CM46716
46717,00:00.0,CM46717
46718,00:00.0,CM46718
46719,00:00.0,CM46719
46720,00:00.0,CM46720
46721,00:00.0,CM46721
46722,00:00.0,CM46722
46723,00:00.0,CM46723
46724,00:00.0,CM46724
46725,00:00.0,CM46725
46726,00:00.0,CM46726
46727,00:00.0,CM46727
46728,00:00.0,CM46728
46729,00:00.0,CM46729
46730,00:00.0,CM46730
46731,00:00.0,CM46731
46732,00:00.0,CM46732
46733,00:00.0,CM46733
46734,00:00.0,CM46734
46735,00:00.0,CM46735
46736,00:00.0,CM46736
46737,00:00.0,CM46737
46738,00:00.0,CM46738
46739,00:00.0,CM46739
46740,00:00.0,CM46740
46741,00:00.0,CM46741
46742,00:00.0,CM46742
46743,00:00.0,CM46743
46744,00:00.0,CM46744
46745,00:00.0,CM46745
46746,00:00.0,CM46746
46747,00:00.0,CM46747
46748,00:00.0,CM46748
46749,00:00.0,CM46749
46750,00:00.0,CM46750
46751,00:00.0,CM46751
46752,00:00.0,CM46752
46753,00:00.0,CM46753
46754,00:00.0,CM46754
46755,00:00.0,CM46755
46756,00:00.0,CM46756
46757,00:00.0,CM46757
46758,00:00.0,CM46758
46759,00:00.0,CM46759
46760,00:00.0,CM46760
46761,00:00.0,CM46761
46762,00:00.0,CM46762
46763,00:00.0,CM46763
46764,00:00.0,CM46764
46765,00:00.0,CM46765
46766,00:00.0,CM46766
46767,00:00.0,CM46767
46768,00:00.0,CM46768
46769,00:00.0,CM46769
46770,00:00.0,CM46770
46771,00:00.0,CM46771
46772,00:00.0,CM46772
46773,00:00.0,CM46773
46774,00:00.0,CM46774
46775,00:00.0,CM46775
46776,00:00.0,CM46776
46777,00:00.0,CM46777
46778,00:00.0,CM46778
46779,00:00.0,CM46779
46780,00:00.0,CM46780
46781,00:00.0,CM46781
46782,00:00.0,CM46782
46783,00:00.0,CM46783
46784,00:00.0,CM46784
46785,00:00.0,CM46785
46786,00:00.0,CM46786
46787,00:00.0,CM46787
46788,00:00.0,CM46788
46789,00:00.0,CM46789
46790,00:00.0,CM46790
46791,00:00.0,CM46791
46792,00:00.0,CM46792
46793,00:00.0,CM46793
46794,00:00.0,CM46794
46795,00:00.0,CM46795
46796,00:00.0,CM46796
46797,00:00.0,CM46797
46798,00:00.0,CM46798
46799,00:00.0,CM46799
46800,00:00.0,CM46800
46801,00:00.0,CM46801
46802,00:00.0,CM46802
46803,00:00.0,CM46803
46804,00:00.0,CM46804
46805,00:00.0,CM46805
46806,00:00.0,CM46806
46807,00:00.0,CM46807
46808,00:00.0,CM46808
46809,00:00.0,CM46809
46810,00:00.0,CM46810
46811,00:00.0,CM46811
46812,00:00.0,CM46812
46813,00:00.0,CM46813
46814,00:00.0,CM46814
46815,00:00.0,CM46815
46816,00:00.0,CM46816
46817,00:00.0,CM46817
46818,00:00.0,CM46818
46819,00:00.0,CM46819
46820,00:00.0,CM46820
46821,00:00.0,CM46821
46822,00:00.0,CM46822
46823,00:00.0,CM46823
46824,00:00.0,CM46824
46825,00:00.0,CM46825
46826,00:00.0,CM46826
46827,00:00.0,CM46827
46828,00:00.0,CM46828
46829,00:00.0,CM46829
46830,00:00.0,CM46830
46831,00:00.0,CM46831
46832,00:00.0,CM46832
46833,00:00.0,CM46833
46834,00:00.0,CM46834
46835,00:00.0,CM46835
46836,00:00.0,CM46836
46837,00:00.0,CM46837
46838,00:00.0,CM46838
