movieId,title,genres
52,Mighty Aphrodite _1995_,CmdaDramaaRom
53,Lamerica _1994_,AdvaDrama
54,Big Green_ The _1995_,ChiaCmd
55,Georgia _1995_,Drama
57,Home for the Holidays _1995_,Drama
58,Postman_ The _Postino_ Il_ _1994_,CmdaDramaaRom
60,Indian in the Cupboard_ The _1995_,AdvaChiaFan
61,Eye for an Eye _1996_,DramaaThi
62,Mr_ Holland's Opus _1995_,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood _1996_,CmdaCri
64,Two if by Sea _1996_,CmdaRom
65,Bio-Dome _1996_,Cmd
66,Lawnmower Man 2_ Beyond Cyberspace _1996_,ActionaSci-FiaThi
68,French Twist _Gazon maudit_ _1995_,CmdaRom
69,Friday _1995_,Cmd
70,From Dusk Till Dawn _1996_,ActionaCmdaHorroraThi
71,Fair Game _1995_,Action
72,Kicking and Screaming _1995_,CmdaDrama
73,Misérables_ Les _1995_,DramaaWar
74,Bed of Roses _1996_,DramaaRom
75,Big Bully _1996_,CmdaDrama
76,Screamers _1995_,ActionaSci-FiaThi
77,Nico Icon _1995_,Documentary
78,Crossing Guard_ The _1995_,ActionaCriaDramaaThi
79,Juror_ The _1996_,DramaaThi
80,White Balloon_ The _Badkonake sefid_ _1995_,ChiaDrama
81,Things to Do in Denver When You're Dead _1995_,CriaDramaaRom
82,Antonia's Line _Antonia_ _1995_,CmdaDrama
83,Once Upon a Time___ When We Were Colored _1995_,DramaaRom
85,Angels and Insects _1995_,DramaaRom
86,White Squall _1996_,ActionaAdvaDrama
87,Dunston Checks In _1996_,ChiaCmd
88,Black Sheep _1996_,Cmd
89,Nick of Time _1995_,ActionaThi
92,Mary Reilly _1996_,DramaaHorroraThi
93,Vampire in Brooklyn _1995_,CmdaHorroraRom
94,Beautiful Girls _1996_,CmdaDramaaRom
95,Broken Arrow _1996_,ActionaAdvaThi
96,In the Bleak Midwinter _1995_,CmdaDrama
97,Hate _Haine_ La_ _1995_,CriaDrama
99,Heidi Fleiss_ Hollywood Madam _1995_,Documentary
100,City Hall _1996_,DramaaThi
101,Bottle Rocket _1996_,AdvaCmdaCriaRom
102,Mr_ Wrong _1996_,Cmd
103,Unforgettable _1996_,MysteryaSci-FiaThi
104,Happy Gilmore _1996_,Cmd
105,Bridges of Madison County_ The _1995_,DramaaRom
106,Nobody Loves Me _Keiner liebt mich_ _1994_,CmdaDrama
107,Muppet Treasure Island _1996_,AdvaChiaCmdaMusical
108,Catwalk _1996_,Documentary
110,Braveheart _1995_,ActionaDramaaWar
111,Taxi Driver _1976_,CriaDramaaThi
112,Rumble in the Bronx _Hont faan kui_ _1995_,ActionaAdvaCmdaCri
113,Before and After _1996_,DramaaMystery
116,Anne Frank Remembered _1995_,Documentary
117,Young Poisoner's Handbook_ The _1995_,CriaDrama
118,If Lucy Fell _1996_,CmdaRom
119,Steal Big_ Steal Little _1995_,Cmd
121,Boys of St_ Vincent_ The _1992_,Drama
122,Boomerang _1992_,CmdaRom
123,Chungking Express _Chung Hing sam lam_ _1994_,DramaaMysteryaRom
125,Flirting With Disaster _1996_,Cmd
126,NeverEnding Story III_ The _1994_,AdvaChiaFan
128,Jupiter's Wife _1994_,Documentary
129,Pie in the Sky _1996_,CmdaRom
132,Jade _1995_,Thi
135,Down Periscope _1996_,Cmd
137,Man of the Year _1995_,Documentary
140,Up Close and Personal _1996_,DramaaRom
141,Birdcage_ The _1996_,Cmd
144,Brothers McMullen_ The _1995_,Cmd
145,Bad Boys _1995_,ActionaCmdaCriaDramaaThi
146,Amazing Panda Adv_ The _1995_,AdvaChi
147,Basketball Diaries_ The _1995_,Drama
148,Awfully Big Adv_ An _1995_,Drama
149,Amateur _1994_,CriaDramaaThi
150,Apollo 13 _1995_,AdvaDramaaIMAX
151,Rob Roy _1995_,ActionaDramaaRomaWar
152,Addiction_ The _1995_,DramaaHorror
153,Batman Forever _1995_,ActionaAdvaCmdaCri
154,Beauty of the Day _Belle de jour_ _1967_,Drama
155,Beyond Rangoon _1995_,AdvaDramaaWar
156,Blue in the Face _1995_,CmdaDrama
157,Canadian Bacon _1995_,CmdaWar
158,Casper _1995_,AdvaChi
159,Clockers _1995_,CriaDramaaMystery
160,Congo _1995_,ActionaAdvaMysteryaSci-Fi
161,Crimson Tide _1995_,DramaaThiaWar
162,Crumb _1994_,Documentary
163,Desperado _1995_,ActionaRomaWestern
164,Devil in a Blue Dress _1995_,CriaFilm-NoiraMysteryaThi
165,Die Hard_ With a Vengeance _1995_,ActionaCriaThi
166,Doom Generation_ The _1995_,CmdaCriaDrama
168,First Knight _1995_,ActionaDramaaRom
169,Free Willy 2_ The Adv Home _1995_,AdvaChiaDrama
170,Hackers _1995_,ActionaAdvaCriaThi
171,Jeffrey _1995_,CmdaDrama
172,Johnny Mnemonic _1995_,ActionaSci-FiaThi
173,Judge Dredd _1995_,ActionaCriaSci-Fi
174,Jury Duty _1995_,Cmd
175,Kids _1995_,Drama
176,Living in Oblivion _1995_,Cmd
177,Lord of Illusions _1995_,Horror
178,Love & Human Remains _1993_,CmdaDrama
179,Mad Love _1995_,DramaaRom
180,Mallrats _1995_,CmdaRom
181,Mighty Morphin Power Rangers_ The Movie _1995_,ActionaChi
183,Mute Witness _1994_,CmdaHorroraThi
184,Nadja _1994_,Drama
185,Net_ The _1995_,ActionaCriaThi
186,Nine Months _1995_,CmdaRom
187,Party Girl _1995_,Cmd
188,Prophecy_ The _1995_,FanaHorroraMystery
189,Reckless _1995_,CmdaFan
190,Safe _1995_,Thi
191,Scarlet Letter_ The _1995_,DramaaRom
193,Showgirls _1995_,Drama
194,Smoke _1995_,CmdaDrama
195,Something to Talk About _1995_,CmdaDramaaRom
196,Species _1995_,HorroraSci-Fi
198,Strange Days _1995_,ActionaCriaDramaaMysteryaSci-FiaThi
199,Umbrellas of Cherbourg_ The _Parapluies de Cherbourg_ Les_ _1964_,DramaaMusicalaRom
201,Three Wishes _1995_,DramaaFan
202,Total Eclipse _1995_,DramaaRom
203,To Wong Foo_ Thanks for Everything! Julie Newmar _1995_,Cmd
204,Under Siege 2_ Dark Territory _1995_,Action
205,Unstrung Heroes _1995_,CmdaDrama
206,Unzipped _1995_,Documentary
207,Walk in the Clouds_ A _1995_,DramaaRom
208,Waterworld _1995_,ActionaAdvaSci-Fi
209,White Man's Burden _1995_,Drama
210,Wild Bill _1995_,Western
211,Browning Version_ The _1994_,Drama
212,Bushwhacked _1995_,AdvaCmdaCriaMystery
213,Burnt by the Sun _Utomlyonnye solntsem_ _1994_,Drama
214,Before the Rain _Pred dozhdot_ _1994_,DramaaWar
215,Before Sunrise _1995_,DramaaRom
216,Billy Madison _1995_,Cmd
217,Babysitter_ The _1995_,DramaaThi
218,Boys on the Side _1995_,CmdaDrama
219,Cure_ The _1995_,Drama
220,Castle Freak _1995_,Horror
222,Circle of Friends _1995_,DramaaRom
223,Clerks _1994_,Cmd
224,Don Juan DeMarco _1995_,CmdaDramaaRom
225,Disclosure _1994_,DramaaThi
227,Drop Zone _1994_,ActionaThi
228,Destiny Turns on the Radio _1995_,Cmd
229,Death and the Maiden _1994_,DramaaThi
230,Dolores Claiborne _1995_,DramaaThi
231,Dumb & Dumber _Dumb and Dumber_ _1994_,AdvaCmd
232,Eat Drink Man Woman _Yin shi nan nu_ _1994_,CmdaDramaaRom
233,Exotica _1994_,Drama
234,Exit to Eden _1994_,Cmd
235,Ed Wood _1994_,CmdaDrama
236,French Kiss _1995_,ActionaCmdaRom
237,Forget Paris _1995_,CmdaRom
238,Far From Home_ The Advs of Yellow Dog _1995_,AdvaChi
239,Goofy Movie_ A _1995_,AniaChiaCmdaRom
240,Hideaway _1995_,Thi
241,Fluke _1995_,ChiaDrama
242,Farinelli_ il castrato _1994_,DramaaMusical
243,Gordy _1995_,ChiaCmdaFan
246,Hoop Dreams _1994_,Documentary
247,Heavenly Creatures _1994_,CriaDrama
248,Houseguest _1994_,Cmd
249,Immortal Beloved _1994_,DramaaRom
250,Heavyweights _Heavy Weights_ _1995_,ChiaCmd
251,Hunted_ The _1995_,Action
252,I_Q_ _1994_,CmdaRom
253,Interview with the Vampire_ The Vampire Chronicles _1994_,DramaaHorror
254,Jefferson in Paris _1995_,Drama
255,Jerky Boys_ The _1995_,Cmd
256,Junior _1994_,CmdaSci-Fi
257,Just Cause _1995_,MysteryaThi
258,Kid in King Arthur's Court_ A _1995_,AdvaChiaCmdaFanaRom
259,Kiss of Death _1995_,CriaDramaaThi
260,Star Wars_ Episode IV - A New Hope _1977_,ActionaAdvaSci-Fi
261,Little Women _1994_,Drama
262,Little Princess_ A _1995_,ChiaDrama
263,Ladybird Ladybird _1994_,Drama
265,Like Water for Chocolate _Como agua para chocolate_ _1992_,DramaaFanaRom
266,Legends of the Fall _1994_,DramaaRomaWaraWestern
267,Major Payne _1995_,Cmd
269,My Crazy Life _Mi vida loca_ _1993_,Drama
270,Love Affair _1994_,DramaaRom
271,Losing Isaiah _1995_,Drama
272,Madness of King George_ The _1994_,CmdaDrama
273,Mary Shelley's Frankenstein _Frankenstein_ _1994_,DramaaHorroraSci-Fi
274,Man of the House _1995_,Cmd
275,Mixed Nuts _1994_,Cmd
276,Milk Money _1994_,CmdaRom
277,Miracle on 34th Street _1994_,Drama
278,Miami Rhapsody _1995_,Cmd
279,My Family _1995_,Drama
280,Murder in the First _1995_,DramaaThi
281,Nobody's Fool _1994_,CmdaDramaaRom
282,Nell _1994_,Drama
283,New Jersey Drive _1995_,CriaDrama
284,New York Cop _Nyû Yôku no koppu_ _1993_,ActionaCri
285,Beyond Bedlam _1993_,DramaaHorror
287,Nina Takes a Lover _1994_,CmdaRom
288,Natural Born Killers _1994_,ActionaCriaThi
289,Only You _1994_,CmdaRom
290,Once Were Warriors _1994_,CriaDrama
291,Poison Ivy II _1996_,DramaaThi
292,Outbreak _1995_,ActionaDramaaSci-FiaThi
293,Léon_ The Professional _a_k_a_ The Professional_ _Léon_ _1994_,ActionaCriaDramaaThi
294,Perez Family_ The _1995_,CmdaRom
295,Pyromaniac's Love Story_ A _1995_,CmdaRom
296,Pulp Fiction _1994_,CmdaCriaDramaaThi
298,Pushing Hands _Tui shou_ _1992_,Drama
299,Priest _1994_,Drama
300,Quiz Show _1994_,Drama
301,Picture Bride _Bijo photo_ _1994_,DramaaRom
302,Queen Margot _Reine Margot_ La_ _1994_,DramaaRom
303,Quick and the Dead_ The _1995_,ActionaThiaWestern
304,Roommates _1995_,CmdaDrama
305,Ready to Wear _Pret-A-Porter_ _1994_,Cmd
306,Three Colors_ Red _Trois couleurs_ Rouge_ _1994_,Drama
307,Three Colors_ Blue _Trois couleurs_ Bleu_ _1993_,Drama
308,Three Colors_ White _Trzy kolory_ Bialy_ _1994_,CmdaDrama
310,Rent-a-Kid _1995_,Cmd
311,Relative Fear _1994_,HorroraThi
312,Stuart Saves His Family _1995_,Cmd
313,Swan Princess_ The _1994_,AniaChi
314,Secret of Roan Inish_ The _1994_,ChiaDramaaFanaMystery
315,Specialist_ The _1994_,ActionaDramaaThi
316,Stargate _1994_,ActionaAdvaSci-Fi
317,Santa Clause_ The _1994_,CmdaDramaaFan
318,Shawshank Redemption_ The _1994_,CriaDrama
319,Shallow Grave _1994_,CmdaDramaaThi
320,Suture _1993_,Film-NoiraThi
321,Strawberry and Chocolate _Fresa y chocolate_ _1993_,Drama
322,Swimming with Sharks _1995_,CmdaDrama
324,Sum of Us_ The _1994_,CmdaDrama
325,National Lampoon's Senior Trip _1995_,Cmd
326,To Live _Huozhe_ _1994_,Drama
327,Tank Girl _1995_,ActionaCmdaSci-Fi
328,Tales from the Crypt Presents_ Demon Knight _1995_,HorroraThi
329,Star Trek_ Generations _1994_,AdvaDramaaSci-Fi
330,Tales from the Hood _1995_,ActionaCriaHorror
331,Tom & Viv _1994_,Drama
332,Village of the Damned _1995_,HorroraSci-Fi
333,Tommy Boy _1995_,Cmd
334,Vanya on 42nd Street _1994_,Drama
335,Underneath _1995_,MysteryaThi
336,Walking Dead_ The _1995_,DramaaWar
337,What's Eating Gilbert Grape _1993_,Drama
338,Virtuosity _1995_,ActionaSci-FiaThi
339,While You Were Sleeping _1995_,CmdaRom
340,War_ The _1994_,AdvaDramaaWar
341,Double Happiness _1994_,Drama
342,Muriel's Wedding _1994_,Cmd
343,Baby-Sitters Club_ The _1995_,Chi
344,Ace Ventura_ Pet Detective _1994_,Cmd
345,Advs of Priscilla_ Queen of the Desert_ The _1994_,CmdaDrama
346,Backbeat _1993_,DramaaMusical
347,Bitter Moon _1992_,DramaaFilm-NoiraRom
348,Bullets Over Broadway _1994_,Cmd
349,Clear and Present Danger _1994_,ActionaCriaDramaaThi
350,Client_ The _1994_,DramaaMysteryaThi
351,Corrina_ Corrina _1994_,CmdaDramaaRom
352,Crooklyn _1994_,CmdaDrama
353,Crow_ The _1994_,ActionaCriaFanaThi
354,Cobb _1994_,Drama
355,Flintstones_ The _1994_,ChiaCmdaFan
356,Forrest Gump _1994_,CmdaDramaaRomaWar
357,Four Weddings and a Funeral _1994_,CmdaRom
358,Higher Learning _1995_,Drama
359,I Like It Like That _1994_,CmdaDramaaRom
360,I Love Trouble _1994_,ActionaCmd
361,It Could Happen to You _1994_,CmdaDramaaRom
362,Jungle Book_ The _1994_,AdvaChiaRom
363,Wonderful_ Horrible Life of Leni Riefenstahl_ The _Macht der Bilder_ Leni Riefenstahl_ Die_ _1993_,Documentary
364,Lion King_ The _1994_,AdvaAniaChiaDramaaMusicalaIMAX
365,Little Buddha _1993_,Drama
366,Wes Craven's New Nightmare _Nightmare on Elm Street Part 7_ Freddy's Finale_ A_ _1994_,DramaaHorroraMysteryaThi
367,Mask_ The _1994_,ActionaCmdaCriaFan
368,Maverick _1994_,AdvaCmdaWestern
369,Mrs_ Parker and the Vicious Circle _1994_,Drama
370,Naked Gun 33 1/3_ The Final Insult _1994_,ActionaCmd
371,Paper_ The _1994_,CmdaDrama
372,Reality Bites _1994_,CmdaDramaaRom
373,Red Rock West _1992_,Thi
374,Richie Rich _1994_,ChiaCmd
376,River Wild_ The _1994_,ActionaThi
377,Speed _1994_,ActionaRomaThi
378,Speechless _1994_,CmdaRom
379,Timecop _1994_,ActionaSci-FiaThi
380,True Lies _1994_,ActionaAdvaCmdaRomaThi
381,When a Man Loves a Woman _1994_,DramaaRom
382,Wolf _1994_,DramaaHorroraRomaThi
383,Wyatt Earp _1994_,Western
384,Bad Company _1995_,ActionaCriaDrama
385,Man of No Importance_ A _1994_,Drama
386,S_F_W_ _1994_,Drama
387,Low Down Dirty Shame_ A _1994_,ActionaCmd
388,Boys Life _1995_,Drama
389,Colonel Chabert_ Le _1994_,DramaaRomaWar
390,Faster Pussycat! Kill! Kill! _1965_,ActionaCriaDrama
391,Jason's Lyric _1994_,CriaDrama
393,Street Fighter _1994_,ActionaAdvaFan
405,Highlander III_ The Sorcerer _a_k_a_ Highlander_ The Final Dimension_ _1994_,ActionaFan
406,Federal Hill _1994_,Drama
407,In the Mouth of Madness _1995_,HorroraThi
408,8 Seconds _1994_,Drama
409,Above the Rim _1994_,CriaDrama
410,Addams Family Values _1993_,ChiaCmdaFan
412,Age of Innocence_ The _1993_,Drama
413,Airheads _1994_,Cmd
414,Air Up There_ The _1994_,Cmd
415,Another Stakeout _1993_,CmdaThi
416,Bad Girls _1994_,Western
417,Barcelona _1994_,CmdaRom
418,Being Human _1993_,Drama
419,Beverly Hillbillies_ The _1993_,Cmd
420,Beverly Hills Cop III _1994_,ActionaCmdaCriaThi
421,Black Beauty _1994_,AdvaChiaDrama
422,Blink _1994_,Thi
423,Blown Away _1994_,ActionaThi
424,Blue Chips _1994_,Drama
425,Blue Sky _1994_,DramaaRom
426,Body Snatchers _1993_,HorroraSci-FiaThi
427,Boxing Helena _1993_,DramaaMysteryaRomaThi
428,Bronx Tale_ A _1993_,Drama
429,Cabin Boy _1994_,Cmd
430,Calendar Girl _1993_,CmdaDrama
431,Carlito's Way _1993_,CriaDrama
432,City Slickers II_ The Legend of Curly's Gold _1994_,AdvaCmdaWestern
433,Clean Slate _1994_,Cmd
434,Cliffhanger _1993_,ActionaAdvaThi
435,Coneheads _1993_,CmdaSci-Fi
436,Color of Night _1994_,DramaaThi
437,Cops and Robbersons _1994_,Cmd
438,Cowboy Way_ The _1994_,ActionaCmdaDrama
440,Dave _1993_,CmdaRom
441,Dazed and Confused _1993_,Cmd
442,Demolition Man _1993_,ActionaAdvaSci-Fi
444,Even Cowgirls Get the Blues _1993_,CmdaRom
445,Fatal Instinct _1993_,Cmd
446,Farewell My Concubine _Ba wang bie ji_ _1993_,DramaaRom
448,Fearless _1993_,Drama
449,Fear of a Black Hat _1994_,Cmd
450,With Honors _1994_,CmdaDrama
451,Flesh and Bone _1993_,DramaaMysteryaRom
452,Widows' Peak _1994_,Drama
453,For Love or Money _1993_,CmdaRom
454,Firm_ The _1993_,DramaaThi
455,Free Willy _1993_,AdvaChiaDrama
456,Fresh _1994_,CriaDramaaThi
457,Fugitive_ The _1993_,Thi
458,Geronimo_ An American Legend _1993_,DramaaWestern
459,Getaway_ The _1994_,ActionaAdvaCriaDramaaRomaThi
460,Getting Even with Dad _1994_,Cmd
461,Go Fish _1994_,DramaaRom
464,Hard Target _1993_,ActionaAdvaCriaThi
466,Hot Shots! Part Deux _1993_,ActionaCmdaWar
467,Live Nude Girls _1995_,Cmd
468,Englishman Who Went Up a Hill But Came Down a Mountain_ The _1995_,CmdaRom
469,House of the Spirits_ The _1993_,DramaaRom
470,House Party 3 _1994_,Cmd
471,Hudsucker Proxy_ The _1994_,Cmd
472,I'll Do Anything _1994_,CmdaDrama
473,In the Army Now _1994_,CmdaWar
474,In the Line of Fire _1993_,ActionaThi
475,In the Name of the Father _1993_,Drama
476,Inkwell_ The _1994_,CmdaDrama
477,What's Love Got to Do with It? _1993_,DramaaMusical
478,Jimmy Hollywood _1994_,CmdaCriaDrama
479,Judgment Night _1993_,ActionaCriaThi
480,Jurassic Park _1993_,ActionaAdvaSci-FiaThi
481,Kalifornia _1993_,DramaaThi
482,Killing Zoe _1994_,CriaDramaaThi
484,Lassie _1994_,AdvaChi
485,Last Action Hero _1993_,ActionaAdvaCmdaFan
486,Life with Mikey _1993_,Cmd
487,Lightning Jack _1994_,CmdaWestern
488,M_ Butterfly _1993_,DramaaRom
489,Made in America _1993_,Cmd
490,Malice _1993_,Thi
491,Man Without a Face_ The _1993_,Drama
492,Manhattan Murder Mystery _1993_,CmdaMystery
493,Menace II Society _1993_,ActionaCriaDrama
494,Executive Decision _1996_,ActionaAdvaThi
495,In the Realm of the Senses _Ai no corrida_ _1976_,Drama
496,What Happened Was___ _1994_,CmdaDramaaRomaThi
497,Much Ado About Nothing _1993_,CmdaRom
499,Mr_ Wonderful _1993_,CmdaRom
500,Mrs_ Doubtfire _1993_,CmdaDrama
501,Naked _1993_,Drama
502,Next Karate Kid_ The _1994_,ActionaChiaRom
504,No Escape _1994_,ActionaDramaaSci-Fi
505,North _1994_,Cmd
506,Orlando _1992_,DramaaFanaRom
507,Perfect World_ A _1993_,CriaDramaaThi
508,Philadelphia _1993_,Drama
509,Piano_ The _1993_,DramaaRom
510,Poetic Justice _1993_,Drama
511,Program_ The _1993_,ActionaDrama
512,Puppet Masters_ The _1994_,HorroraSci-Fi
513,Radioland Murders _1994_,CmdaMysteryaRom
514,Ref_ The _1994_,Cmd
515,Remains of the Day_ The _1993_,DramaaRom
516,Renaissance Man _1994_,CmdaDrama
517,Rising Sun _1993_,ActionaDramaaMystery
518,Road to Wellville_ The _1994_,Cmd
519,RoboCop 3 _1993_,ActionaCriaDramaaSci-FiaThi
520,Robin Hood_ Men in Tights _1993_,Cmd
521,Romeo Is Bleeding _1993_,CriaThi
522,Romper Stomper _1992_,ActionaDrama
523,Ruby in Paradise _1993_,Drama
524,Rudy _1993_,Drama
526,Savage Nights _Nuits fauves_ Les_ _1992_,Drama
527,Schindler's List _1993_,DramaaWar
528,Scout_ The _1994_,CmdaDrama
529,Searching for Bobby Fischer _1993_,Drama
531,Secret Garden_ The _1993_,ChiaDrama
532,Serial Mom _1994_,CmdaCriaHorror
533,Shadow_ The _1994_,ActionaAdvaFanaMystery
534,Shadowlands _1993_,DramaaRom
535,Short Cuts _1993_,Drama
536,Simple Twist of Fate_ A _1994_,Drama
537,Sirens _1994_,Drama
538,Six Degrees of Separation _1993_,Drama
539,Sleepless in Seattle _1993_,CmdaDramaaRom
540,Sliver _1993_,Thi
541,Blade Runner _1982_,ActionaSci-FiaThi
542,Son in Law _1993_,CmdaDramaaRom
543,So I Married an Axe Murderer _1993_,CmdaRomaThi
544,Striking Distance _1993_,ActionaCri
546,Super Mario Bros_ _1993_,ActionaAdvaChiaCmdaFanaSci-Fi
547,Surviving the Game _1994_,ActionaAdvaThi
548,Terminal Velocity _1994_,ActionaMysteryaThi
549,Thirty-Two Short Films About Glenn Gould _1993_,DramaaMusical
550,Threesome _1994_,CmdaRom
551,Nightmare Before Christmas_ The _1993_,AniaChiaFanaMusical
552,Three Musketeers_ The _1993_,ActionaAdvaCmdaRom
553,Tombstone _1993_,ActionaDramaaWestern
555,True Rom _1993_,CriaThi
556,War Room_ The _1993_,Documentary
558,Pagemaster_ The _1994_,ActionaAdvaAniaChiaFan
562,Welcome to the Dollhouse _1995_,CmdaDrama
563,Germinal _1993_,DramaaRom
564,Chasers _1994_,Cmd
567,Kika _1993_,CmdaDrama
568,Bhaji on the Beach _1993_,CmdaDrama
569,Little Big League _1994_,CmdaDrama
573,Ciao_ Professore! _Io speriamo che me la cavo_ _1992_,Drama
574,Spanking the Monkey _1994_,CmdaDrama
575,Little Rascals_ The _1994_,ChiaCmd
577,Andre _1994_,AdvaChiaDrama
579,Escort_ The _Scorta_ La_ _1993_,CriaThi
580,Princess Caraboo _1994_,Drama
581,Celluloid Closet_ The _1995_,Documentary
583,Dear Diary _Caro Diario_ _1994_,CmdaDrama
585,Brady Bunch Movie_ The _1995_,Cmd
586,Home Alone _1990_,ChiaCmd
587,Ghost _1990_,CmdaDramaaFanaRomaThi
588,Aladdin _1992_,AdvaAniaChiaCmdaMusical
589,Terminator 2_ Judgment Day _1991_,ActionaSci-Fi
590,Dances with Wolves _1990_,AdvaDramaaWestern
592,Batman _1989_,ActionaCriaThi
593,Silence of the Lambs_ The _1991_,CriaHorroraThi
594,Snow White and the Seven Dwarfs _1937_,AniaChiaDramaaFanaMusical
595,Beauty and the Beast _1991_,AniaChiaFanaMusicalaRomaIMAX
596,Pinocchio _1940_,AniaChiaFanaMusical
597,Pretty Woman _1990_,CmdaRom
599,Wild Bunch_ The _1969_,AdvaWestern
600,Love and a _45 _1994_,ActionaCmdaCri
602,Great Day in Harlem_ A _1994_,Documentary
605,One Fine Day _1996_,DramaaRom
606,Candyman_ Farewell to the Flesh _1995_,FanaHorror
608,Fargo _1996_,CmdaCriaDramaaThi
609,Homeward Bound II_ Lost in San Francisco _1996_,AdvaChi
610,Heavy Metal _1981_,ActionaAdvaAniaHorroraSci-Fi
611,Hellraiser_ Bloodline _1996_,ActionaHorroraSci-Fi
612,Pallbearer_ The _1996_,Cmd
613,Jane Eyre _1996_,DramaaRom
615,Bread and Chocolate _Pane e cioccolata_ _1973_,CmdaDrama
616,Aristocats_ The _1970_,AniaChi
617,Flower of My Secret_ The _La flor de mi secreto_ _1995_,CmdaDrama
618,Two Much _1995_,CmdaRom
619,Ed _1996_,Cmd
626,Thin Line Between Love and Hate_ A _1996_,Cmd
627,Last Supper_ The _1995_,DramaaThi
628,Primal Fear _1996_,CriaDramaaMysteryaThi
631,All Dogs Go to Heaven 2 _1996_,AdvaAniaChiaFanaMusicalaRom
632,Land and Freedom _Tierra y libertad_ _1995_,DramaaWar
633,Denise Calls Up _1995_,Cmd
634,Theodore Rex _1995_,Cmd
635,Family Thing_ A _1996_,CmdaDrama
636,Frisk _1995_,Drama
637,Sgt_ Bilko _1996_,Cmd
638,Jack and Sarah _1995_,Rom
639,Girl 6 _1996_,CmdaDrama
640,Diabolique _1996_,DramaaThi
645,Nelly & Monsieur Arnaud _1995_,Drama
647,Courage Under Fire _1996_,ActionaCriaDramaaWar
648,Mission_ Impossible _1996_,ActionaAdvaMysteryaThi
649,Cold Fever _Á köldum klaka_ _1995_,CmdaDrama
650,Moll Flanders _1996_,Drama
653,Dragonheart _1996_,ActionaAdvaFan
656,Eddie _1996_,Cmd
661,James and the Giant Peach _1996_,AdvaAniaChiaFanaMusical
662,Fear _1996_,Thi
663,Kids in the Hall_ Brain Candy _1996_,Cmd
665,Underground _1995_,CmdaDramaaWar
667,Bloodsport 2 _a_k_a_ Bloodsport II_ The Next Kumite_ _1996_,Action
668,Song of the Little Road _Pather Panchali_ _1955_,Drama
670,World of Apu_ The _Apur Sansar_ _1959_,Drama
671,Mystery Science Theater 3000_ The Movie _1996_,CmdaSci-Fi
673,Space Jam _1996_,AdvaAniaChiaCmdaFanaSci-Fi
674,Barbarella _1968_,AdvaCmdaSci-Fi
678,Some Folks Call It a Sling Blade _1993_,DramaaThi
679,Run of the Country_ The _1995_,Drama
680,Alphaville _Alphaville_ une étrange aventure de Lemmy Caution_ _1965_,DramaaMysteryaRomaSci-FiaThi
685,It's My Party _1996_,Drama
688,Operation Dumbo Drop _1995_,ActionaAdvaCmdaWar
691,Mrs_ Winterbourne _1996_,CmdaRom
692,Solo _1996_,ActionaSci-FiaThi
694,Substitute_ The _1996_,ActionaCriaDrama
695,True Cri _1996_,MysteryaThi
